// Intrepid WormE 3D contacts, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
Contact,Easting,Northing,Elevation,Anomaly
Contact37,-480914.843750,-2597175.500000,-15800.000000,0.000803
Contact38,-268266.656250,-2577313.250000,-15800.000000,0.005979
Contact38,-200000.000000,-2589810.000000,-15800.000000,0.008913
Contact38,-129600.000000,-2599710.750000,-15800.000000,0.011336
Contact38,-59200.000000,-2603993.750000,-15800.000000,0.007534
Contact38,-18774.447266,-2633940.250000,-15800.000000,0.002843
Contact38,-13496.172852,-2640679.250000,-15800.000000,0.002199
Contact38,-202133.328125,-2594172.250000,-3300.000000,0.008846
Contact38,-180800.000000,-2594401.000000,-3300.000000,0.010094
Contact38,-158400.000000,-2598130.750000,-3300.000000,0.009666
Contact38,-136000.000000,-2605577.750000,-3300.000000,0.009627
Contact39,-281066.656250,-2581233.750000,-15800.000000,0.006255
Contact39,-353600.000000,-2600767.000000,-15800.000000,0.008795
Contact39,-418818.343750,-2621661.000000,-15800.000000,0.005442
Contact39,-487514.718750,-2631514.750000,-15800.000000,0.002583
Contact39,-563703.125000,-2614101.250000,-15800.000000,0.000665
Contact39,-565188.375000,-2614545.000000,-15800.000000,0.000643
Contact40,1160992.375000,-2602059.000000,-15800.000000,0.001073
Contact40,1181445.625000,-2613979.000000,-15800.000000,0.001243
Contact40,1202289.125000,-2635496.000000,-15800.000000,0.001370
Contact40,1233833.750000,-2657833.750000,-15800.000000,0.001170
Contact40,1248533.375000,-2649079.750000,-15800.000000,0.000855
Contact41,469556.281250,-2638089.500000,-15800.000000,0.001800
Contact41,491037.437500,-2683200.000000,-15800.000000,0.002518
Contact41,509575.156250,-2731441.750000,-15800.000000,0.003053
Contact41,532060.312500,-2772800.000000,-15800.000000,0.003531
Contact41,480947.843750,-2585644.750000,-3300.000000,0.006073
Contact41,486692.281250,-2626425.750000,-3300.000000,0.005069
Contact41,489376.625000,-2660800.000000,-3300.000000,0.006978
Contact41,493907.781250,-2708800.000000,-3300.000000,0.005328
Contact41,507233.500000,-2739766.750000,-3300.000000,0.006537
Contact41,514131.312500,-2749864.750000,-3300.000000,0.006761
Contact42,316156.750000,-2646823.500000,-15800.000000,0.000581
Contact42,354509.125000,-2678640.000000,-15800.000000,0.001137
Contact42,391838.562500,-2707572.000000,-15800.000000,0.001251
Contact42,422477.750000,-2753600.000000,-15800.000000,0.000992
Contact42,450382.468750,-2800533.250000,-15800.000000,0.001134
Contact43,860777.687500,-2648555.500000,-15800.000000,0.000862
Contact43,840545.625000,-2681587.750000,-15800.000000,0.001734
Contact43,820905.125000,-2709761.500000,-15800.000000,0.002200
Contact43,784741.500000,-2733125.250000,-15800.000000,0.002346
Contact43,765574.687500,-2745892.000000,-15800.000000,0.002499
Contact43,858133.312500,-2707196.750000,-3300.000000,0.001071
Contact43,838489.562500,-2712443.750000,-3300.000000,0.001711
Contact43,824000.000000,-2724393.500000,-3300.000000,0.002075
Contact43,801211.937500,-2732686.500000,-3300.000000,0.002552
Contact44,418276.843750,-2650682.000000,-15800.000000,0.002133
Contact44,429605.000000,-2694138.250000,-15800.000000,0.002371
Contact44,457916.843750,-2724583.500000,-15800.000000,0.003053
Contact44,481480.125000,-2765213.500000,-15800.000000,0.003613
Contact44,445928.281250,-2712595.000000,-3300.000000,0.008104
Contact44,458907.812500,-2722374.500000,-3300.000000,0.006626
Contact44,466464.781250,-2737398.000000,-3300.000000,0.006810
Contact44,479776.281250,-2746443.000000,-3300.000000,0.005717
Contact44,486612.718750,-2764266.750000,-3300.000000,0.005268
Contact44,486612.718750,-2764266.750000,-3300.000000,0.005268
Contact45,275935.187500,-2691733.250000,-15800.000000,0.001007
Contact45,313194.750000,-2714164.000000,-15800.000000,0.001380
Contact45,352470.937500,-2732204.250000,-15800.000000,0.002644
Contact45,378940.406250,-2758673.750000,-15800.000000,0.002103
Contact45,400385.750000,-2780119.000000,-15800.000000,0.000994
Contact45,400385.750000,-2780119.000000,-15800.000000,0.000994
Contact45,368847.562500,-2750714.250000,-3300.000000,0.005161
Contact45,382629.531250,-2767696.250000,-3300.000000,0.004957
Contact45,401193.656250,-2781993.750000,-3300.000000,0.004425
Contact45,418432.312500,-2797099.000000,-3300.000000,0.002679
Contact45,446328.781250,-2807258.750000,-3300.000000,0.001351
Contact45,449815.718750,-2805651.000000,-3300.000000,0.001500
Contact46,-1151933.125000,-2713533.250000,-15800.000000,0.001133
Contact46,-1137809.625000,-2758723.750000,-15800.000000,0.001451
Contact46,-1076800.000000,-2756765.500000,-15800.000000,0.001461
Contact46,-1031333.812500,-2781287.000000,-15800.000000,0.001523
Contact46,-965502.125000,-2796631.250000,-15800.000000,0.001204
Contact46,-946666.687500,-2807958.750000,-15800.000000,0.001324
Contact46,-1072245.125000,-2767661.250000,-3300.000000,0.000807
Contact46,-1057260.000000,-2776458.750000,-3300.000000,0.001664
Contact46,-1045641.375000,-2790188.250000,-3300.000000,0.002698
Contact46,-1028800.000000,-2794790.000000,-3300.000000,0.001999
Contact46,-1014844.437500,-2772800.000000,-3300.000000,0.000883
Contact46,-1014552.937500,-2771733.250000,-3300.000000,0.001074
Contact47,1466133.375000,-2708338.500000,-15800.000000,0.001276
Contact47,1481911.500000,-2747200.000000,-15800.000000,0.001795
Contact47,1491850.625000,-2783584.000000,-15800.000000,0.001576
Contact47,1499888.000000,-2824000.000000,-15800.000000,0.001277
Contact47,1491765.625000,-2845333.250000,-15800.000000,0.001075
